### 08 — Logs du conteneur pendant le test (gunicorn / accès)

Toutes les requêtes POST /api/images/<name>/rotate observées :
  172.19.0.1 - - [09/Aug/2026:19:16:58 +0000] "GET /uploads/afacf742b85a4d01b7e81bdb7df7ae0f.jpg?size=s&_r=1786303018621 HTTP/1.1" 200 0 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"

Erreurs / tracebacks éventuels :
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:12:54 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/sw.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:13:08 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/sw.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:14:13 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:14:18 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/sw.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:15:29 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:15:34 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/sw.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:16:43 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  dashboard  | 172.19.0.1 - - [09/Aug/2026:19:16:47 +0000] "GET /sw.js HTTP/1.1" 200 4500 "http://localhost:8099/sw.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
